janggi_exile,장기유배문화체험촌,역사·체험,장기 지역의 유배 문화와 선비 이야기를 만나는 체험 공간,경상북도 포항시 남구 장기면 장기로 452,35.9000,129.4820,"문화|가족","가족|친구|동료","맑음|비|눈",실내·실외,사계절,,,"2|3",90,운영시간 확인 필요,,0,5000,자차,주차 가능,2,,,https://pohang.go.kr/phtour/index.do,
heunghae_bukcheonsu,흥해 북천수,숲·산책,북천을 따라 오래된 숲길을 걷는 생태 산책지,경상북도 포항시 북구 흥해읍 북송리,36.1100,129.3450,"힐링|문화|사진","혼자|연인|가족","맑음|흐림",실외,사계절,,,"1|2|3",60,상시,,0,0,"도보|자차",현장 확인,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0601010000,
hyeongsangang,형산강 둔치,강변·산책,형산강을 따라 자전거와 산책을 즐기는 도심 수변 공간,경상북도 포항시 남구 해도동 일대,36.0100,129.3650,"힐링|액티비티|사진","혼자|연인|가족|동료","맑음|흐림|야간",실외,사계절,,,"1|2|3",60,상시,,0,0,"도보|자전거|대중교통",주변 주차장,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0601010000,
yugang_forest,유강상생숲길,숲·산책,도심 가까이에서 숲길을 걷는 힐링 코스,경상북도 포항시 남구 연일읍 유강리,36.0000,129.3200,"힐링|액티비티|사진","혼자|연인|가족","맑음|흐림",실외,사계절,,,"1|2|3",60,상시,,0,0,"도보|자차",현장 확인,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0601010000,
yanghak_park,양학생활체육공원,공원·체육,가족과 함께 산책과 가벼운 체육 활동을 즐기는 공원,경상북도 포항시 북구 양덕동 일대,36.0900,129.3950,"힐링|액티비티|가족","가족|친구|동료","맑음|흐림",실외,사계절,,,"1|2|3",60,상시,,0,0,"도보|자차",공영주차장,2,,,https://cn.pohang.go.kr/dept/contents.do?mid=0601010000,
seolmori_rawfish,설머리물회지구,물회·해산물,포항 대표 음식 물회를 맛볼 수 있는 해안 음식 거리,경상북도 포항시 북구 두호동 설머리 일대,36.0650,129.3900,"맛집 투어|힐링","혼자|연인|가족|동료","맑음|흐림",실내·실외,사계절,,,"1|2|3",90,점포별 확인,,5000,30000,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
deungpureun_rawfish,등푸른막회거리,회·해산물,신선한 막회와 해산물 요리를 즐기는 포항 먹거리 거리,경상북도 포항시 북구 죽도동 일대,36.0370,129.3650,"맛집 투어","연인|가족|동료|친구","맑음|흐림",실내,사계절,,,"1|2|3",90,점포별 확인,,10000,40000,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
mundeok_food,문덕 먹거리골목,맛집·골목,오천 문덕 지역의 다양한 식당과 카페를 둘러보는 먹거리 골목,경상북도 포항시 남구 오천읍 문덕리,35.9650,129.4050,"맛집 투어","연인|가족|동료|친구","맑음|흐림|비",실내,사계절,,,"1|2|3",90,점포별 확인,,5000,30000,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
guryongpo_crab,구룡포 대게거리,해산물·시장,구룡포항 주변에서 대게와 해산물을 맛보는 음식 거리,경상북도 포항시 남구 구룡포읍 구룡포리,35.9900,129.5600,"맛집 투어|문화","연인|가족|동료","맑음|흐림",실내,겨울|사계절,,,"2|3",120,점포별 확인,,20000,100000,"도보|자차",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
pohang_seafood_market,포항수산물시장,수산시장·먹거리,동해안 수산물을 구경하고 맛볼 수 있는 시장,경상북도 포항시 북구 죽도동 일대,36.0360,129.3650,"맛집 투어|문화","가족|연인|동료|친구","맑음|흐림",실내·실외,사계절,,,"1|2|3",90,점포별 확인,,5000,50000,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
jungang_shopping,중앙상가,상가·카페,도심 카페와 식당을 함께 둘러볼 수 있는 포항 중심 상권,경상북도 포항시 북구 중앙상가 일대,36.0380,129.3650,"맛집 투어|문화","혼자|연인|친구|동료","맑음|흐림|비",실내,사계절,,,"1|2|3",120,점포별 확인,,5000,30000,"도보|대중교통",인근 주차장,2,,,https://pohang.go.kr/phtour/index.do,
ocheon_market,오천시장,전통시장·먹거리,지역 주민의 일상과 먹거리를 만나는 전통시장,경상북도 포항시 남구 오천읍 세계리,35.9700,129.4110,"맛집 투어|문화","가족|연인|동료","맑음|흐림",실내·실외,사계절,,,"1|2|3",90,운영시간 확인 필요,,3000,30000,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
heunghae_market,흥해시장,전통시장·먹거리,흥해 지역의 농수산물과 분식을 즐기는 시장,경상북도 포항시 북구 흥해읍 성내리,36.1080,129.3450,"맛집 투어|문화","가족|연인|동료","맑음|흐림",실내·실외,사계절,,,"1|2|3",90,운영시간 확인 필요,,3000,30000,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
cheongha_market,청하시장,전통시장·먹거리,청하 지역 특산물과 시장 먹거리를 만나는 장소,경상북도 포항시 북구 청하면 미남리,36.2050,129.3400,"맛집 투어|문화","가족|연인|동료","맑음|흐림",실내·실외,사계절,,,"2|3",90,운영시간 확인 필요,,3000,30000,자차,주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
gigye_market,기계시장,전통시장·먹거리,기계면 주민들의 생활과 지역 먹거리를 만나는 시장,경상북도 포항시 북구 기계면 현내리,36.0700,129.1800,"맛집 투어|문화","가족|연인|동료","맑음|흐림",실내·실외,사계절,,,"2|3",90,운영시간 확인 필요,,3000,30000,자차,주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
yeonil_market,연일시장,전통시장·먹거리,연일 지역의 소박한 시장 풍경과 먹거리를 즐기는 장소,경상북도 포항시 남구 연일읍 생지리,35.9950,129.3300,"맛집 투어|문화","가족|연인|동료","맑음|흐림",실내·실외,사계절,,,"1|2|3",90,운영시간 확인 필요,,3000,30000,"도보|자차|대중교통",주변 주차장,2,,,https://pohang.go.kr/phtour/index.do,
haedo_cafe,해도동 카페거리,카페·도심,형산강 주변 카페와 식당을 함께 즐기는 도심 먹거리 구역,경상북도 포항시 남구 해도동 일대,36.0050,129.3700,"맛집 투어|힐링","혼자|연인|친구|동료","맑음|흐림|비",실내,사계절,,,"1|2|3",90,점포별 확인,,5000,25000,"도보|자차|대중교통",인근 주차장,2,,,https://pohang.go.kr/phtour/index.do,
